date,body,doc_type,extraction,path
2003-12-15,BOS,agenda,ok,BOS/2003/2003-12-15_BOS_agenda_1149.md
2003-12-15,BOS,agenda,ok,BOS/2003/2003-12-15_BOS_agenda_361.md
2003-12-16,BOS,agenda,ok,BOS/2003/2003-12-16_BOS_agenda_1150.md
2003-12-16,BOS,agenda,ok,BOS/2003/2003-12-16_BOS_agenda_362.md
2003-12-23,BOS,agenda,ok,BOS/2003/2003-12-23_BOS_agenda_1151.md
2003-12-23,BOS,agenda,ok,BOS/2003/2003-12-23_BOS_agenda_363.md
2004-01-05,BOS,agenda,ok,BOS/2004/2004-01-05_BOS_agenda_1069.md
2004-01-05,BOS,agenda,ok,BOS/2004/2004-01-05_BOS_agenda_1092.md
2004-01-20,BOS,agenda,ok,BOS/2004/2004-01-20_BOS_agenda_1070.md
2004-01-20,BOS,agenda,ok,BOS/2004/2004-01-20_BOS_agenda_1093.md
2004-01-26,BOS,agenda,ok,BOS/2004/2004-01-26_BOS_agenda_1094.md
2004-02-02,BOS,agenda,ok,BOS/2004/2004-02-02_BOS_agenda_1071.md
2004-02-02,BOS,agenda,ok,BOS/2004/2004-02-02_BOS_agenda_1095.md
2004-02-09,BOS,agenda,ok,BOS/2004/2004-02-09_BOS_agenda_1096.md
2004-02-17,BOS,agenda,ok,BOS/2004/2004-02-17_BOS_agenda_1072.md
2004-02-17,BOS,agenda,ok,BOS/2004/2004-02-17_BOS_agenda_1097.md
2004-03-08,BOS,agenda,ok,BOS/2004/2004-03-08_BOS_agenda_1073.md
2004-03-08,BOS,agenda,ok,BOS/2004/2004-03-08_BOS_agenda_1098.md
2004-03-29,BOS,agenda,ok,BOS/2004/2004-03-29_BOS_agenda_1074.md
2004-03-29,BOS,agenda,ok,BOS/2004/2004-03-29_BOS_agenda_1099.md
2004-04-05,BOS,agenda,ok,BOS/2004/2004-04-05_BOS_agenda_1075.md
2004-04-05,BOS,agenda,ok,BOS/2004/2004-04-05_BOS_agenda_1100.md
2004-04-19,BOS,agenda,ok,BOS/2004/2004-04-19_BOS_agenda_1076.md
2004-04-19,BOS,agenda,ok,BOS/2004/2004-04-19_BOS_agenda_1101.md
2004-05-03,BOS,agenda,ok,BOS/2004/2004-05-03_BOS_agenda_1077.md
2004-05-03,BOS,agenda,ok,BOS/2004/2004-05-03_BOS_agenda_1102.md
2004-05-17,BOS,agenda,ok,BOS/2004/2004-05-17_BOS_agenda_1078.md
2004-06-07,BOS,agenda,ok,BOS/2004/2004-06-07_BOS_agenda_1079.md
2004-06-07,BOS,agenda,ok,BOS/2004/2004-06-07_BOS_agenda_1103.md
2004-06-21,BOS,agenda,ok,BOS/2004/2004-06-21_BOS_agenda_1080.md
2004-06-21,BOS,agenda,ok,BOS/2004/2004-06-21_BOS_agenda_1104.md
2004-07-06,BOS,agenda,ok,BOS/2004/2004-07-06_BOS_agenda_1081.md
2004-07-06,BOS,agenda,ok,BOS/2004/2004-07-06_BOS_agenda_1105.md
2004-07-26,BOS,agenda,ok,BOS/2004/2004-07-26_BOS_agenda_1082.md
2004-07-26,BOS,agenda,ok,BOS/2004/2004-07-26_BOS_agenda_1106.md
2004-08-09,BOS,agenda,ok,BOS/2004/2004-08-09_BOS_agenda_1083.md
2004-08-09,BOS,agenda,ok,BOS/2004/2004-08-09_BOS_agenda_1107.md
2004-08-23,BOS,agenda,ok,BOS/2004/2004-08-23_BOS_agenda_1084.md
2004-08-23,BOS,agenda,ok,BOS/2004/2004-08-23_BOS_agenda_1108.md
2004-09-13,BOS,agenda,ok,BOS/2004/2004-09-13_BOS_agenda_1085.md
2004-09-13,BOS,agenda,ok,BOS/2004/2004-09-13_BOS_agenda_1109.md
2004-09-20,BOS,agenda,ok,BOS/2004/2004-09-20_BOS_agenda_1110.md
2004-10-04,BOS,agenda,ok,BOS/2004/2004-10-04_BOS_agenda_1086.md
2004-10-04,BOS,agenda,ok,BOS/2004/2004-10-04_BOS_agenda_1111.md
2004-10-14,BOS,agenda,ok,BOS/2004/2004-10-14_BOS_agenda_1087.md
2004-10-14,BOS,agenda,ok,BOS/2004/2004-10-14_BOS_agenda_1112.md
2004-10-18,BOS,agenda,ok,BOS/2004/2004-10-18_BOS_agenda_1113.md
2004-11-08,BOS,agenda,ok,BOS/2004/2004-11-08_BOS_agenda_1088.md
2004-11-08,BOS,agenda,ok,BOS/2004/2004-11-08_BOS_agenda_1114.md
2004-11-15,BOS,agenda,ok,BOS/2004/2004-11-15_BOS_agenda_1089.md
2004-11-15,BOS,agenda,ok,BOS/2004/2004-11-15_BOS_agenda_1115.md
2004-12-06,BOS,agenda,ok,BOS/2004/2004-12-06_BOS_agenda_1090.md
2004-12-06,BOS,agenda,ok,BOS/2004/2004-12-06_BOS_agenda_1116.md
2004-12-17,BOS,agenda,ok,BOS/2004/2004-12-17_BOS_agenda_1117.md
2004-12-20,BOS,agenda,ok,BOS/2004/2004-12-20_BOS_agenda_1091.md
2004-12-20,BOS,agenda,ok,BOS/2004/2004-12-20_BOS_agenda_1118.md
2005-01-03,BOS,agenda,ok,BOS/2005/2005-01-03_BOS_agenda_1012.md
2005-01-04,BOS,agenda,ok,BOS/2005/2005-01-04_BOS_agenda_1013.md
2005-01-04,BOS,agenda,ok,BOS/2005/2005-01-04_BOS_agenda_1042.md
2005-01-11,BOS,agenda,ok,BOS/2005/2005-01-11_BOS_agenda_1014.md
2005-01-11,BOS,agenda,ok,BOS/2005/2005-01-11_BOS_agenda_1043.md
2005-01-18,BOS,agenda,ok,BOS/2005/2005-01-18_BOS_agenda_1015.md
2005-01-18,BOS,agenda,ok,BOS/2005/2005-01-18_BOS_agenda_1044.md
2005-02-07,BOS,agenda,ok,BOS/2005/2005-02-07_BOS_agenda_1016.md
2005-02-07,BOS,agenda,ok,BOS/2005/2005-02-07_BOS_agenda_1045.md
2005-02-22,BOS,agenda,ok,BOS/2005/2005-02-22_BOS_agenda_1017.md
2005-02-22,BOS,agenda,ok,BOS/2005/2005-02-22_BOS_agenda_1046.md
2005-03-14,BOS,agenda,ok,BOS/2005/2005-03-14_BOS_agenda_1018.md
2005-03-14,BOS,agenda,ok,BOS/2005/2005-03-14_BOS_agenda_1047.md
2005-03-21,BOS,agenda,ok,BOS/2005/2005-03-21_BOS_agenda_1019.md
2005-03-21,BOS,agenda,ok,BOS/2005/2005-03-21_BOS_agenda_1048.md
2005-04-04,BOS,agenda,ok,BOS/2005/2005-04-04_BOS_agenda_1020.md
2005-04-04,BOS,agenda,ok,BOS/2005/2005-04-04_BOS_agenda_1049.md
2005-04-18,BOS,agenda,ok,BOS/2005/2005-04-18_BOS_agenda_1021.md
2005-04-18,BOS,agenda,ok,BOS/2005/2005-04-18_BOS_agenda_1050.md
2005-04-25,BOS,agenda,ok,BOS/2005/2005-04-25_BOS_agenda_1022.md
2005-04-25,BOS,agenda,ok,BOS/2005/2005-04-25_BOS_agenda_1051.md
2005-05-02,BOS,agenda,ok,BOS/2005/2005-05-02_BOS_agenda_1023.md
2005-05-02,BOS,agenda,ok,BOS/2005/2005-05-02_BOS_agenda_1052.md
2005-05-16,BOS,agenda,ok,BOS/2005/2005-05-16_BOS_agenda_1024.md
2005-05-16,BOS,agenda,ok,BOS/2005/2005-05-16_BOS_agenda_1053.md
2005-05-20,BOS,agenda,ok,BOS/2005/2005-05-20_BOS_agenda_1025.md
2005-05-20,BOS,agenda,ok,BOS/2005/2005-05-20_BOS_agenda_1054.md
2005-06-06,BOS,agenda,ok,BOS/2005/2005-06-06_BOS_agenda_1026.md
2005-06-06,BOS,agenda,ok,BOS/2005/2005-06-06_BOS_agenda_1055.md
2005-06-20,BOS,agenda,ok,BOS/2005/2005-06-20_BOS_agenda_1027.md
2005-06-20,BOS,agenda,ok,BOS/2005/2005-06-20_BOS_agenda_1056.md
2005-07-11,BOS,agenda,ok,BOS/2005/2005-07-11_BOS_agenda_1028.md
2005-07-11,BOS,agenda,ok,BOS/2005/2005-07-11_BOS_agenda_1057.md
2005-07-18,BOS,agenda,ok,BOS/2005/2005-07-18_BOS_agenda_1029.md
2005-07-18,BOS,agenda,ok,BOS/2005/2005-07-18_BOS_agenda_1058.md
2005-08-01,BOS,agenda,ok,BOS/2005/2005-08-01_BOS_agenda_1030.md
2005-08-01,BOS,agenda,ok,BOS/2005/2005-08-01_BOS_agenda_1059.md
2005-08-15,BOS,agenda,ok,BOS/2005/2005-08-15_BOS_agenda_1031.md
2005-08-15,BOS,agenda,ok,BOS/2005/2005-08-15_BOS_agenda_1060.md
2005-08-29,BOS,agenda,ok,BOS/2005/2005-08-29_BOS_agenda_1032.md
2005-08-29,BOS,agenda,ok,BOS/2005/2005-08-29_BOS_agenda_1061.md
2005-09-06,BOS,agenda,ok,BOS/2005/2005-09-06_BOS_agenda_1033.md
2005-09-06,BOS,agenda,ok,BOS/2005/2005-09-06_BOS_agenda_1062.md
2005-09-19,BOS,agenda,ok,BOS/2005/2005-09-19_BOS_agenda_1034.md
2005-09-19,BOS,agenda,ok,BOS/2005/2005-09-19_BOS_agenda_1063.md
2005-10-03,BOS,agenda,ok,BOS/2005/2005-10-03_BOS_agenda_1035.md
2005-10-03,BOS,agenda,ok,BOS/2005/2005-10-03_BOS_agenda_1064.md
2005-10-17,BOS,agenda,ok,BOS/2005/2005-10-17_BOS_agenda_1036.md
2005-10-17,BOS,agenda,ok,BOS/2005/2005-10-17_BOS_agenda_1065.md
2005-10-24,BOS,agenda,ok,BOS/2005/2005-10-24_BOS_agenda_1037.md
2005-11-15,BOS,agenda,ok,BOS/2005/2005-11-15_BOS_agenda_1038.md
2005-11-21,BOS,agenda,ok,BOS/2005/2005-11-21_BOS_agenda_1039.md
2005-11-21,BOS,agenda,ok,BOS/2005/2005-11-21_BOS_agenda_1066.md
2005-12-05,BOS,agenda,ok,BOS/2005/2005-12-05_BOS_agenda_1040.md
2005-12-05,BOS,agenda,ok,BOS/2005/2005-12-05_BOS_agenda_1067.md
2005-12-19,BOS,agenda,ok,BOS/2005/2005-12-19_BOS_agenda_1041.md
2005-12-19,BOS,agenda,ok,BOS/2005/2005-12-19_BOS_agenda_1068.md
2006-01-03,BOS,agenda,ok,BOS/2006/2006-01-03_BOS_agenda_945.md
